Order Line,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Sales,Quantity,Discount,Profit
84,CA-2015-149734,9/3/2015,9/8/2015,Standard Class,JC-16105,OFF-EN-10000927,200.98,7,0.20,62.81
85,US-2017-119662,11/13/2017,11/16/2017,First Class,CS-12400,OFF-ST-10003656,230.38,3,0.20,-48.95
86,CA-2017-140088,5/28/2017,5/30/2017,Second Class,PO-18865,FUR-CH-10000863,301.96,2,0.00,33.22
87,CA-2017-155558,10/26/2017,11/2/2017,Standard Class,PG-18895,TEC-AC-10001998,19.99,1,0.00,6.80
88,CA-2017-155558,10/26/2017,11/2/2017,Standard Class,PG-18895,OFF-LA-10000134,6.16,2,0.00,2.96
89,CA-2016-159695,4/5/2016,4/10/2016,Second Class,GM-14455,OFF-ST-10003442,158.37,7,0.20,13.86
90,CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,OFF-AR-10004930,20.10,3,0.00,6.63
91,CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,TEC-PH-10004093,73.58,2,0.20,8.28
92,CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,OFF-PA-10000304,6.48,1,0.00,3.11
93,CA-2015-149587,1/31/2015,2/5/2015,Second Class,KB-16315,OFF-PA-10003177,12.96,2,0.00,6.22
94,CA-2015-149587,1/31/2015,2/5/2015,Second Class,KB-16315,FUR-FU-10003799,53.34,3,0.00,16.54
95,CA-2015-149587,1/31/2015,2/5/2015,Second Class,KB-16315,OFF-BI-10002852,32.96,2,0.00,16.15
96,US-2017-109484,11/6/2017,11/12/2017,Standard Class,RB-19705,OFF-BI-10004738,5.68,1,0.70,-3.79
97,CA-2017-161018,11/9/2017,11/11/2017,Second Class,PN-18775,FUR-FU-10000629,96.53,7,0.00,40.54
98,CA-2017-157833,6/17/2017,6/20/2017,First Class,KD-16345,OFF-BI-10001721,51.31,3,0.20,17.96
99,CA-2016-149223,9/6/2016,9/11/2016,Standard Class,ER-13855,OFF-AP-10000358,77.88,6,0.00,22.59
100,CA-2016-158568,8/29/2016,9/2/2016,Standard Class,RB-19465,OFF-PA-10003256,64.62,7,0.20,22.62
101,CA-2016-158568,8/29/2016,9/2/2016,Standard Class,RB-19465,TEC-AC-10001767,95.98,3,0.20,-10.80
102,CA-2016-158568,8/29/2016,9/2/2016,Standard Class,RB-19465,OFF-BI-10002609,1.79,3,0.80,-3.04
103,CA-2016-129903,12/1/2016,12/4/2016,Second Class,GZ-14470,OFF-PA-10004040,23.92,4,0.00,11.72
104,US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,TEC-AC-10001552,238.90,6,0.20,-26.88
105,US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,FUR-FU-10004006,102.36,3,0.20,-3.84
106,US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,OFF-BI-10002794,36.88,3,0.70,-25.82
107,CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250,TEC-AC-10003499,74.11,8,0.20,17.60
108,CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250,TEC-PH-10002844,27.99,1,0.20,2.10
109,CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250,OFF-AR-10000390,3.30,1,0.20,1.07
110,CA-2015-129476,10/15/2015,10/20/2015,Standard Class,PA-19060,TEC-AC-10000844,339.96,5,0.20,67.99
111,CA-2017-146780,12/25/2017,12/30/2017,Standard Class,CV-12805,FUR-FU-10001934,41.96,2,0.00,10.91
112,CA-2016-128867,11/3/2016,11/10/2016,Standard Class,CL-12565,OFF-AR-10000380,75.96,2,0.00,22.79
113,CA-2016-128867,11/3/2016,11/10/2016,Standard Class,CL-12565,OFF-BI-10003981,27.24,6,0.00,13.35
114,CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,OFF-FA-10000621,40.10,14,0.20,14.53
115,CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,OFF-EN-10002600,4.72,2,0.20,1.65
116,CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,OFF-PA-10004965,23.98,3,0.20,7.49
117,CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,OFF-EN-10002504,130.46,6,0.20,44.03
118,CA-2015-110457,3/2/2015,3/6/2015,Standard Class,DK-13090,FUR-TA-10001768,787.53,3,0.00,165.38
119,US-2015-136476,4/5/2015,4/10/2015,Standard Class,GG-14650,OFF-BI-10003650,157.79,1,0.70,-115.72
120,CA-2016-103730,6/12/2016,6/15/2016,First Class,SC-20725,FUR-FU-10002157,47.04,3,0.00,18.35
121,CA-2016-103730,6/12/2016,6/15/2016,First Class,SC-20725,OFF-BI-10003910,30.84,4,0.00,13.88
122,CA-2016-103730,6/12/2016,6/15/2016,First Class,SC-20725,OFF-ST-10000777,226.56,6,0.00,63.44
123,CA-2016-103730,6/12/2016,6/15/2016,First Class,SC-20725,OFF-EN-10002500,115.02,9,0.00,51.76
124,CA-2016-103730,6/12/2016,6/15/2016,First Class,SC-20725,TEC-PH-10003875,68.04,7,0.00,19.73
125,US-2014-152030,12/26/2014,12/28/2014,Second Class,AD-10180,FUR-CH-10004063,600.56,3,0.30,-8.58
126,US-2014-134614,9/20/2014,9/25/2014,Standard Class,PF-19165,FUR-TA-10004534,617.70,6,0.50,-407.68
127,US-2017-107272,11/5/2017,11/12/2017,Standard Class,TS-21610,OFF-BI-10003274,2.39,2,0.70,-1.83
128,US-2017-107272,11/5/2017,11/12/2017,Standard Class,TS-21610,OFF-ST-10002974,243.99,7,0.20,30.50
129,US-2016-125969,11/6/2016,11/10/2016,Second Class,LS-16975,FUR-CH-10001146,81.42,2,0.20,-9.16
130,US-2016-125969,11/6/2016,11/10/2016,Second Class,LS-16975,FUR-FU-10003773,238.56,3,0.00,26.24
131,US-2017-164147,2/2/2017,2/5/2017,First Class,DW-13585,TEC-PH-10002293,59.97,5,0.40,-11.99
132,US-2017-164147,2/2/2017,2/5/2017,First Class,DW-13585,OFF-PA-10002377,78.30,2,0.20,29.36
133,US-2017-164147,2/2/2017,2/5/2017,First Class,DW-13585,OFF-FA-10002780,21.46,9,0.20,6.97
134,CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885,OFF-PA-10001804,20.04,3,0.00,9.62
135,CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885,OFF-PA-10001736,35.44,1,0.00,16.66
136,CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885,OFF-AR-10001149,11.52,4,0.00,3.46
137,CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885,OFF-FA-10002988,4.02,2,0.00,1.97
138,CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885,OFF-BI-10004781,76.18,3,0.20,26.66
139,CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885,OFF-SU-10001218,65.88,6,0.00,18.45
140,CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885,FUR-FU-10001706,43.12,14,0.00,20.70
141,CA-2016-110366,9/5/2016,9/7/2016,Second Class,JD-15895,FUR-FU-10004848,82.80,2,0.20,10.35
142,CA-2017-106180,9/18/2017,9/23/2017,Standard Class,SH-19975,OFF-AR-10000940,8.82,3,0.00,2.38
143,CA-2017-106180,9/18/2017,9/23/2017,Standard Class,SH-19975,OFF-EN-10004030,10.86,3,0.00,5.10
144,CA-2017-106180,9/18/2017,9/23/2017,Standard Class,SH-19975,OFF-PA-10004327,143.70,3,0.00,68.98
145,CA-2017-155376,12/22/2017,12/27/2017,Standard Class,SG-20080,OFF-AP-10001058,839.43,3,0.00,218.25
146,CA-2015-110744,9/7/2015,9/12/2015,Standard Class,HA-14920,OFF-ST-10003656,671.93,7,0.00,20.16
147,CA-2014-110072,10/22/2014,10/28/2014,Standard Class,MG-17680,FUR-FU-10000521,93.89,4,0.20,12.91
148,CA-2016-114489,12/5/2016,12/9/2016,Standard Class,JE-16165,TEC-PH-10000215,384.45,11,0.00,103.80
149,CA-2016-114489,12/5/2016,12/9/2016,Standard Class,JE-16165,TEC-PH-10001448,149.97,3,0.00,6.00
150,CA-2016-114489,12/5/2016,12/9/2016,Standard Class,JE-16165,FUR-CH-10000454,1951.84,8,0.00,585.55
151,CA-2016-114489,12/5/2016,12/9/2016,Standard Class,JE-16165,OFF-BI-10002735,171.55,5,0.00,80.63
152,CA-2016-158834,3/13/2016,3/16/2016,First Class,TW-21025,OFF-AP-10000326,157.92,5,0.20,17.77
153,CA-2016-158834,3/13/2016,3/16/2016,First Class,TW-21025,TEC-PH-10001254,203.18,2,0.20,15.24
154,CA-2015-124919,5/31/2015,6/2/2015,First Class,SP-20650,OFF-PA-10001950,58.38,7,0.00,26.27
155,CA-2015-124919,5/31/2015,6/2/2015,First Class,SP-20650,OFF-PA-10002254,105.52,4,0.00,48.54
156,CA-2015-124919,5/31/2015,6/2/2015,First Class,SP-20650,OFF-ST-10001590,80.88,6,0.00,21.03
157,CA-2015-118948,5/28/2015,6/3/2015,Standard Class,NK-18490,OFF-AR-10001547,6.63,3,0.00,1.79
158,CA-2014-104269,3/1/2014,3/6/2014,Second Class,DB-13060,FUR-CH-10004063,457.57,2,0.20,51.48
159,CA-2016-114104,11/20/2016,11/24/2016,Standard Class,NP-18670,OFF-LA-10002475,14.62,2,0.00,6.87
160,CA-2016-114104,11/20/2016,11/24/2016,Standard Class,NP-18670,TEC-PH-10004536,944.93,7,0.00,236.23
161,CA-2016-162733,5/11/2016,5/12/2016,First Class,TT-21070,OFF-PA-10002751,5.98,1,0.00,2.69
162,CA-2015-119697,12/28/2015,12/31/2015,Second Class,EM-13960,TEC-AC-10003657,54.38,2,0.20,1.36
163,CA-2016-154508,11/16/2016,11/20/2016,Standard Class,RD-19900,OFF-EN-10001990,28.40,5,0.00,13.35
164,CA-2016-113817,11/7/2016,11/11/2016,Standard Class,MJ-17740,OFF-BI-10004002,27.68,2,0.20,9.69
165,CA-2014-139892,9/8/2014,9/12/2014,Standard Class,BM-11140,OFF-AR-10004441,9.94,3,0.20,2.73
166,CA-2014-139892,9/8/2014,9/12/2014,Standard Class,BM-11140,TEC-MA-10000822,8159.95,8,0.40,-1359.99
167,CA-2014-139892,9/8/2014,9/12/2014,Standard Class,BM-11140,OFF-ST-10000991,275.93,3,0.20,-58.63
168,CA-2014-139892,9/8/2014,9/12/2014,Standard Class,BM-11140,FUR-CH-10004287,1740.06,9,0.30,-24.86
169,CA-2014-139892,9/8/2014,9/12/2014,Standard Class,BM-11140,OFF-AR-10002656,32.06,6,0.20,6.81
170,CA-2014-139892,9/8/2014,9/12/2014,Standard Class,BM-11140,OFF-AP-10002518,177.98,5,0.80,-453.85
171,CA-2014-139892,9/8/2014,9/12/2014,Standard Class,BM-11140,TEC-PH-10003931,143.98,3,0.20,9.00
172,CA-2014-118962,8/5/2014,8/9/2014,Standard Class,CS-12130,OFF-PA-10000659,20.94,3,0.00,9.84
173,CA-2014-118962,8/5/2014,8/9/2014,Standard Class,CS-12130,OFF-PA-10001144,110.96,2,0.00,53.26
174,CA-2014-118962,8/5/2014,8/9/2014,Standard Class,CS-12130,FUR-CH-10003817,340.14,7,0.20,21.26
175,US-2014-100853,9/14/2014,9/19/2014,Standard Class,JB-15400,OFF-AP-10000891,52.45,2,0.80,-131.12
176,US-2014-100853,9/14/2014,9/19/2014,Standard Class,JB-15400,OFF-LA-10003148,20.16,4,0.20,6.55
177,US-2017-152366,4/21/2017,4/25/2017,Second Class,SJ-20500,OFF-AP-10002684,97.26,4,0.80,-243.16
178,US-2015-101511,11/21/2015,11/23/2015,Second Class,JE-15745,FUR-CH-10004698,396.80,7,0.30,-11.34
179,US-2015-101511,11/21/2015,11/23/2015,Second Class,JE-15745,OFF-SU-10002189,15.88,5,0.20,-3.77
180,CA-2015-137225,12/15/2015,12/19/2015,Standard Class,JK-15640,OFF-AR-10001940,3.28,1,0.00,1.41
181,CA-2014-166191,12/5/2014,12/9/2014,Second Class,DK-13150,OFF-ST-10003455,24.82,2,0.20,1.86
182,CA-2014-166191,12/5/2014,12/9/2014,Second Class,DK-13150,TEC-AC-10004659,408.74,7,0.20,76.64
183,CA-2014-158274,11/19/2014,11/24/2014,Second Class,RM-19675,TEC-PH-10003273,503.96,4,0.00,131.03
184,CA-2014-158274,11/19/2014,11/24/2014,Second Class,RM-19675,TEC-PH-10004896,149.95,5,0.00,41.99
185,CA-2014-158274,11/19/2014,11/24/2014,Second Class,RM-19675,TEC-AC-10002345,29.00,2,0.00,7.25
186,CA-2016-105018,11/28/2016,12/2/2016,Standard Class,SK-19990,OFF-BI-10001890,7.16,2,0.00,3.44
187,CA-2014-123260,8/26/2014,8/30/2014,Standard Class,FM-14290,TEC-AC-10002323,176.80,8,0.00,22.98
188,CA-2016-157000,7/16/2016,7/22/2016,Standard Class,AM-10360,OFF-ST-10001328,37.22,3,0.20,3.72
189,CA-2016-157000,7/16/2016,7/22/2016,Standard Class,AM-10360,OFF-PA-10001950,20.02,3,0.20,6.26
190,CA-2015-102281,10/12/2015,10/14/2015,First Class,MP-17470,FUR-BO-10002613,899.14,4,0.20,112.39
191,CA-2015-102281,10/12/2015,10/14/2015,First Class,MP-17470,TEC-PH-10001552,71.76,6,0.00,20.09
192,CA-2015-102281,10/12/2015,10/14/2015,First Class,MP-17470,OFF-PA-10000061,51.84,8,0.00,24.88
193,CA-2015-102281,10/12/2015,10/14/2015,First Class,MP-17470,FUR-BO-10002545,626.35,3,0.20,46.98
194,CA-2015-102281,10/12/2015,10/14/2015,First Class,MP-17470,OFF-AR-10003514,19.90,5,0.00,6.57
195,CA-2015-131457,10/31/2015,11/6/2015,Standard Class,MZ-17515,OFF-EN-10001509,14.28,7,0.00,6.71
196,CA-2014-140004,3/21/2014,3/25/2014,Standard Class,CB-12025,OFF-AR-10004685,7.41,2,0.20,1.20
197,CA-2014-140004,3/21/2014,3/25/2014,Standard Class,CB-12025,OFF-AR-10004027,6.05,3,0.20,1.59
198,CA-2017-107720,11/6/2017,11/13/2017,Standard Class,VM-21685,OFF-ST-10001414,46.26,3,0.00,12.03
199,US-2017-124303,7/6/2017,7/13/2017,Standard Class,FH-14365,OFF-BI-10000343,2.95,2,0.70,-2.26
200,US-2017-124303,7/6/2017,7/13/2017,Standard Class,FH-14365,OFF-PA-10002749,16.06,3,0.20,5.82
201,CA-2017-105074,6/24/2017,6/29/2017,Standard Class,MB-17305,OFF-PA-10002666,21.74,3,0.20,6.80
202,CA-2014-133690,8/3/2014,8/5/2014,First Class,BS-11755,FUR-TA-10004289,218.75,2,0.50,-161.88
203,CA-2014-133690,8/3/2014,8/5/2014,First Class,BS-11755,OFF-AP-10003622,2.60,1,0.20,0.29
204,US-2017-116701,12/17/2017,12/21/2017,Second Class,LC-17140,OFF-AP-10003217,66.28,2,0.80,-178.97
205,CA-2017-126382,6/3/2017,6/7/2017,Standard Class,HK-14890,FUR-FU-10002960,35.17,7,0.20,9.67
206,CA-2017-108329,12/9/2017,12/14/2017,Standard Class,LE-16810,TEC-PH-10001918,444.77,4,0.20,44.48
207,CA-2017-135860,12/1/2017,12/7/2017,Standard Class,JH-15985,OFF-ST-10000642,83.92,4,0.00,5.87
208,CA-2017-135860,12/1/2017,12/7/2017,Standard Class,JH-15985,TEC-PH-10001700,131.98,2,0.00,35.63
209,CA-2017-135860,12/1/2017,12/7/2017,Standard Class,JH-15985,OFF-BI-10003274,15.92,4,0.00,7.48
210,CA-2017-135860,12/1/2017,12/7/2017,Standard Class,JH-15985,OFF-FA-10000134,52.29,9,0.00,16.21
211,CA-2017-135860,12/1/2017,12/7/2017,Standard Class,JH-15985,OFF-ST-10001522,91.99,1,0.00,3.68
212,CA-2015-101007,2/9/2015,2/13/2015,Second Class,MS-17980,TEC-AC-10001266,20.80,2,0.20,6.50
213,CA-2015-146262,1/2/2015,1/9/2015,Standard Class,VW-21775,OFF-LA-10004544,23.68,2,0.20,8.88
214,CA-2015-146262,1/2/2015,1/9/2015,Standard Class,VW-21775,FUR-BO-10004695,452.45,5,0.50,-244.32
215,CA-2015-146262,1/2/2015,1/9/2015,Standard Class,VW-21775,TEC-PH-10002844,62.98,3,0.40,-14.70
216,CA-2015-146262,1/2/2015,1/9/2015,Standard Class,VW-21775,TEC-MA-10000864,1188.00,9,0.70,-950.40
217,CA-2015-146262,1/2/2015,1/9/2015,Standard Class,VW-21775,TEC-AC-10000109,89.58,2,0.20,4.48
218,CA-2016-130162,10/28/2016,11/1/2016,Standard Class,JH-15910,OFF-ST-10001328,93.06,6,0.00,26.06
219,CA-2016-130162,10/28/2016,11/1/2016,Standard Class,JH-15910,TEC-PH-10002563,302.38,3,0.20,22.68
220,CA-2015-169397,12/24/2015,12/27/2015,First Class,JB-15925,OFF-FA-10000585,5.58,2,0.20,1.81
221,CA-2015-169397,12/24/2015,12/27/2015,First Class,JB-15925,OFF-PA-10004000,22.70,6,0.20,8.23
222,CA-2015-169397,12/24/2015,12/27/2015,First Class,JB-15925,OFF-BI-10002852,19.78,4,0.70,-13.84
223,CA-2015-169397,12/24/2015,12/27/2015,First Class,JB-15925,FUR-FU-10000087,72.70,4,0.20,19.08
224,CA-2015-169397,12/24/2015,12/27/2015,First Class,JB-15925,TEC-MA-10001148,479.99,4,0.70,-383.99
225,CA-2015-169397,12/24/2015,12/27/2015,First Class,JB-15925,OFF-AR-10001958,27.17,2,0.20,2.72
